,Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num,GFPG,GAPG,CS%,WC_GFPG,WC_GAPG
77,Togo,CAF,121,0.72,0.58,552.0,553.0,671.0,178.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Togo,TGO,768.0,1.0018115942028984,1.2155797101449275,0.322463768115942,0.6666666666666666,1.3333333333333333
78,Zimbabwe,CAF,122,0.7,0.74,659.0,764.0,698.0,236.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,ZWE,716.0,1.1593323216995448,1.0591805766312594,0.3581183611532625,0.3333333333333333,1.3333333333333333
79,Gambia,CAF,123,0.55,0.45,378.0,283.0,665.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gambia (the),GMB,270.0,0.7486772486772487,1.7592592592592593,0.2275132275132275,,
80,Angola,CAF,126,0.7,0.75,590.0,530.0,607.0,211.0,6.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,Angola,AGO,24.0,0.8983050847457628,1.028813559322034,0.3576271186440678,0.6666666666666666,2.0
81,Comoros,CAF,128,0.6,0.6,470.0,344.0,609.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comoros (the),COM,174.0,0.7319148936170212,1.2957446808510638,0.28085106382978725,,
82,Tanzania,CAF,130,0.55,0.55,396.0,252.0,522.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Tanzania, the United Republic of",TZA,834.0,0.6363636363636364,1.3181818181818181,0.29797979797979796,,
83,Central African Republic,CAF,131,0.7,0.77,682.0,620.0,675.0,279.0,9.0,5.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,Central African Republic (the),CAF,140.0,0.9090909090909091,0.9897360703812317,0.4090909090909091,0.5555555555555556,2.3333333333333335
84,Sudan,CAF,132,0.6,0.6,552.0,430.0,711.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sudan (the),SDN,729.0,0.7789855072463768,1.2880434782608696,0.29891304347826086,,
85,Rwanda,CAF,136,0.62,0.6,488.0,396.0,633.0,148.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Rwanda,RWA,646.0,0.8114754098360656,1.2971311475409837,0.30327868852459017,1.0,1.6666666666666667
86,Burundi,CAF,139,0.57,0.58,599.0,515.0,728.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burundi,BDI,108.0,0.8597662771285476,1.2153589315525877,0.3105175292153589,,
87,Ethiopia,CAF,140,0.52,0.5,441.0,301.0,647.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethiopia,ETH,231.0,0.6825396825396826,1.4671201814058956,0.23809523809523808,,
88,Eswatini,CAF,143,0.47,0.5,506.0,381.0,703.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eswatini,SWZ,748.0,0.7529644268774703,1.3893280632411067,0.2766798418972332,,
89,Lesotho,CAF,145,0.53,0.5,554.0,447.0,766.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lesotho,LSO,426.0,0.8068592057761733,1.3826714801444044,0.2743682310469314,,
90,Botswana,CAF,148,0.5,0.5,385.0,249.0,534.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botswana,BWA,72.0,0.6467532467532467,1.387012987012987,0.2597402597402597,,
91,Liberia,CAF,149,0.64,0.57,665.0,565.0,819.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liberia,LBR,430.0,0.849624060150376,1.231578947368421,0.3458646616541353,,
92,South Sudan,CAF,161,0.4,0.4,400.0,212.0,629.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Sudan,SSD,728.0,0.53,1.5725,0.225,,
